OBJECTID,zones905,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co,rank
48,49,2,36.2,45.785,50.68,1.415,98.11,319.35,0.208,22,38,33,40,95.27647591,14.8790555,53.85985899,3.735999167,32.17171884,40.17937174,0.246109121,2
450,473,2,37.45,49.46,48.865,1.055,101.075,319.525,0.138,17,1,9,10,98.55138588,16.95940272,55.50595061,1.197986812,30.14669744,43.62236341,0.25603018,2
338,351,1,37.2,46.92,64.73,0,90.04,319.89,0.141,3,26,5,10,103.19933,19.93528748,49.08840307,0.349007621,26.12288698,34.85889397,0.27187593,2
587,617,1,39.4,51.66,56.22,0,119.27,321.11,0.208,22,38,33,40,92.95925522,15.29614568,55.19834328,2.259213984,29.55526924,37.22747803,0.239882629,3
194,201,4,37.025,46.7025,44.685,1.8675,101.1075,321.1775,0.162,7.5,15,9.5,14,100.4251695,19.66246085,56.80397225,0.84640329,31.4065696,37.1662848,0.263829945,2
476,499,2,42.25,41.165,59.09,0,124.655,321.47,0.231,26,42,29,45,82.45689774,8.679226001,69.12793255,4.401899398,34.40885878,35.48746173,0.276102958,3
18,17,2,45.8,71.53,96.445,2.405,155.21,321.57,0.161,4,24,48,13,82.19811011,13.03162933,72.73381234,2.287985869,29.79732824,35.26267505,0.257811174,4
180,187,2,40.25,73.58,49.735,0,116.2,322.49,0.157,2,30,47,23,90.31377223,7.95778552,66.05601278,3.790255255,34.25696882,35.53580041,0.261260266,3
634,666,1,62.1,56.55,107.45,0,264.68,322.58,0.223,34,44,40,49,87.74085999,14.75795441,59.19433975,16.60743046,31.10084979,39.53957431,0.261011049,5
567,597,2,30.65,25.605,24.025,0,55.66,322.87,0.164,13,22,14,20,94.89615059,15.41920193,56.43171978,1.24430571,29.59219949,40.24299431,0.246097143,1
640,673,1,34,42.43,45.05,0,85.22,323.13,0.135,11,17,11,9,94.41141837,19.7711762,51.71650805,4.038118294,26.90312549,30.57518387,0.234604963,2
817,857,1,33.5,36.22,59.58,0,82.72,323.32,0.193,14,11,15,36,95.84353209,14.45397908,31.65509462,2.091782659,30.35600954,35.31696987,0.257901214,2
504,532,2,44.75,54.765,62.28,0,139.34,324.275,0.208,22,38,33,40,86.61842346,13.34763265,57.11904781,5.585584442,30.99395371,37.65996425,0.229475639,4
326,339,1,36.7,60.2,52.63,0,85.24,324.79,0.149,45,6,4,7,102.8776901,16.35872879,51.7148407,0.291965717,20.7640316,42.3758405,0.260914654,2
740,777,2,40.45,44.52,50.245,1.97,117.05,325.675,0.138,17,1,9,10,96.72848511,17.16474266,56.66838837,1.350399119,29.57983113,45.03666019,0.25345628,3
