OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
418,427,6,55,64.76166667,96.72,0,191.255,283.3,0.188,25,33,27,39,87.01048993,14.63341727,63.07823119,0.270417514,32.25229679,42.04843509,0.275671328
419,428,3,26.63333333,27.15666667,32.45333333,0,70.65,258.4666667,0.143,38,7,19,26,103.8350518,18.27633123,51.38552817,3.800405493,24.19091042,36.41971285,0.238131226
420,429,2,44.9,49.615,67.24,0,125.71,380.455,0.223,34,44,40,49,87.46909269,12.50255172,60.2637531,4.713934134,32.33603081,36.04214589,0.261749324
421,430,1,63.3,,137.78,0,196.24,551.38,0.209,27,35,38,47,77.30921809,16.09991055,67.57964579,2.415038149,36.0412674,37.42890231,0.268753221
422,431,3,35.56666667,58.37,64.33333333,0,122.62,269.91,0.176,32,18,44,28,103.3334924,17.27946377,58.74481693,3.910244912,22.51560275,40.9329428,0.259969294
423,432,1,51.7,60.84,81.02,0,161.71,0,0.218,19,41,39,41,94.69231669,15.99187819,54.12789663,2.462431908,33.70334244,36.32800547,0.249388238
424,433,5,43.72,65.48,72.644,0,126.308,337.568,0.1704,10.6,21.2,20.4,28,90.04544778,14.50141231,60.70553458,1.939766706,30.68987668,41.88723615,0.219894816
425,434,1,34.8,48.29,37.01,0,89.3,213.61,0.171,31,37,7,22,94.99763775,13.69457257,47.6073451,1.3392286,28.10125232,34.5711503,0.237332594
426,435,5,48.7,78.568,88.096,0,202.076,55.268,0.208,22,38,33,40,90.68578992,14.7502213,55.47129948,5.929986687,30.02490495,38.53010816,0.244338263
427,436,1,42.7,79.84,0,0,,403.08,0.26,41,49,32,50,97.55290985,13.7116667,57.24000495,3.206637314,29.71112306,38.73959796,0.223640288
428,437,1,47.2,66.87,69.44,16.16,137.89,246.18,0.141,3,26,5,10,88.30751546,11.9876198,46.8057305,0.997017359,25.35434484,34.43004886,0.222321921
429,438,1,44.8,91.14,0,0,189.87,0,0.155,5,46,18,14,95.98215993,15.51397864,55.17082214,10.84042613,30.37517675,40.38195165,0.249909744
430,439,4,25.55,208.4175,207.7775,16.925,189.9575,1795.3825,0.1375,8,26.25,4.25,9,102.067336,20.9056685,52.88636355,0.380890606,29.38393637,38.47096582,0.278339738
431,440,4,42.875,46.525,59.3575,0,155.7525,215.5125,0.172,10,21,22,30,85.50083787,14.11665622,62.88279613,3.082728169,27.64975094,40.68035894,0.232246295
