OBJECTID,zones455,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
404,413,2,-0.523289211,-0.557968999,-0.6112051,1.835397598,-0.687115388,-0.338166214,-0.152964253,1.275587974,1.594480435,-0.118649015,0.684281675,-0.09297086,-0.322811566,0.157714955,-0.171494302,0.13958051,-0.440464312,-0.125898677
405,414,1,-2.224527736,4.093390999,3.837670144,3.63328078,3.390886561,5.366759404,-1.070041092,-0.212425127,-1.497267114,0.096261107,-1.285902111,0.564203462,1.211887121,-0.715780427,0.380652635,-0.935801843,1.820763337,-0.847137781
406,415,4,0.382048249,-0.20117208,-0.159620223,-0.242921109,-0.046143623,-0.186856046,1.419167471,1.523590158,1.832307169,1.314085134,1.36626837,-2.285577542,-0.189499871,1.098472322,-0.01725286,1.108011462,-0.356693509,0.699862349
407,416,2,-0.503391685,-0.173098102,-0.277656195,-0.242921109,-0.317047837,-0.178817529,-0.652443603,-0.047090338,-0.684692437,-0.727561029,-0.66074764,0.191529708,0.179142007,-0.701716086,-0.564390529,0.725392303,-0.117151912,0.677591952
408,417,3,0.043790297,-0.211058485,-0.6112051,-0.242921109,-1.069747693,-0.111873568,-0.120211509,1.606257552,0.405346762,1.170811719,0.229623878,0.096639042,0.708163338,0.395715564,-0.163436581,-1.299142485,2.173111103,1.188765814
409,418,3,-0.117877107,-0.210120981,-0.217681599,-0.242921109,-0.189740806,-0.166175592,-0.218469741,-0.6257621,-0.466684597,-0.333559138,0.153847579,-0.464429644,-0.199639376,0.598879896,-0.901745279,0.754218135,1.777080242,0.401220485
410,419,3,-0.158501223,-0.186535657,-0.246417737,-0.188579522,-0.141965391,-0.167635817,0.665854353,-0.487983108,-0.942338066,-0.620105968,0.760057975,0.502410378,1.11637682,-0.552729727,-0.165915684,0.891166416,0.06940072,0.110224042
411,420,5,1.393505852,0.079306343,-0.205213239,-0.242921109,0.689092017,-0.421080204,0.960629052,0.366246635,0.881000231,0.454444644,0.911610574,-0.386005576,0.612016501,0.170307834,10.27293482,0.019694544,0.705352026,-0.465015561
412,421,3,0.08358535,-0.203319817,-0.273570335,-0.172277046,-0.27213985,-0.118560321,-0.611502673,0.28357924,-1.417991535,-0.763379382,-0.528139116,0.413527797,0.581034831,-0.649345356,-0.625961183,0.410443053,0.336927233,0.232144278
413,422,2,-0.573033028,-0.220638069,-0.166997471,-0.165978362,-0.204591599,-0.262821228,0.272821422,-0.956431678,-1.338715957,-1.479746457,-0.225033919,0.143262258,1.116424647,-0.560658879,-0.783196353,-0.24139724,-1.034160572,0.590943711
414,423,3,-0.00595352,-0.165478752,-0.216465569,0.134011901,-0.263876238,-0.156234998,0.469337888,-0.295092521,-1.259440379,-0.83501609,0.608505376,0.332721422,0.593737804,-0.909221466,0.366637912,0.093700083,0.192388329,-0.323675095
415,424,5,0.879486415,0.019056096,0.036890215,-0.242921109,-0.084684565,-0.085449756,-0.218469741,-0.6257621,-0.466684597,-0.333559138,0.153847579,-1.044195534,-0.276591506,0.710261049,0.051065307,-0.956707288,0.568742349,-0.37130843
416,425,3,-0.11870617,-0.186444747,-0.150259495,-0.242921109,-0.335370024,-0.159218049,-0.425903777,0.393802433,1.039551388,-1.145441822,-0.654432949,0.540996694,0.206922304,-0.583677384,-0.435925673,0.907915026,0.039504095,0.571726555
417,426,4,0.183072983,-0.149626414,-0.194987778,-0.242921109,-0.161247151,-0.134363652,-0.218469741,-0.6257621,-0.466684597,-0.333559138,0.153847579,-0.18487016,-0.03396822,0.57224145,-0.933898227,0.456470009,1.925587956,0.507270768
418,427,5,1.277436947,-0.116410369,0.016071782,-0.242921109,0.225708874,-0.173613567,0.305574167,0.614248818,0.484622341,0.0246244,0.835834274,-0.818635829,-0.044260028,0.730668369,-0.934755773,0.479518587,1.433386629,1.216698737
419,428,1,-1.544695578,-0.372809148,-0.400729234,-0.242921109,-0.591203307,-0.195305842,-1.168299325,1.688924947,-1.576542692,-0.54846926,-0.149257619,1.108663572,1.347897281,-0.448323784,0.240728792,-1.344356213,-0.362734556,-0.524993161
420,429,4,0.272611853,-0.21968352,-0.175120551,-0.242921109,-0.218257039,-0.088747273,1.451920215,1.358255369,1.3566537,0.955901596,1.593597269,-0.766101633,-0.858580675,0.446880473,0.544933459,0.498463265,-0.483215899,0.570780365
421,430,5,2.103184301,-0.557968999,0.282366124,-0.242921109,0.259474533,0.06055818,0.993381796,0.779583607,0.643173497,0.812628182,1.44204467,-1.929942949,0.51616752,1.184552512,-0.220597972,1.33676667,-0.040702931,0.895729686
422,431,2,-0.655939388,-0.159990093,-0.193971718,-0.242921109,-0.239187005,-0.185309925,-0.087458764,1.19292058,-0.704511332,1.242448426,0.00229498,1.051208576,0.966939527,0.293723943,0.277305274,-1.723391692,1.077433848,0.488194978
423,432,5,0.949127758,-0.143149115,-0.085750458,-0.242921109,0.025587234,-0.421080204,1.288156494,0.118244451,1.118826966,0.884264889,0.987386873,0.061338356,0.474882427,-0.171806807,-0.204815869,0.807815169,-0.391998315,-0.002718432
424,433,4,0.155216446,-0.111512622,-0.140072947,-0.242921109,-0.214206514,-0.126209686,-0.270874132,-0.576161663,-0.450829482,-0.44817787,0.00229498,-0.470973138,-0.094706367,0.491425939,-0.37886317,0.126023724,1.381948165,-1.371080567
425,434,2,-0.732213241,-0.228717648,-0.371177004,-0.242921109,-0.464878427,-0.234488787,-0.251222486,1.110253185,0.801724653,-1.40810975,-0.452362817,0.096313715,-0.403044102,-0.829283446,-0.578842115,-0.459648084,-0.952609526,-0.562046094
426,435,4,0.650664859,-0.022275892,-0.039859109,-0.242921109,0.299004399,-0.372802808,0.960629052,0.366246635,0.881000231,0.454444644,0.911610574,-0.397620201,0.0003772,-0.036349555,0.949878466,-0.024424986,0.310691057,-0.23701456
